url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://viatris.wd5.myworkdayjobs.com/external/job/United-States-Remote-Office/Senior-Director-Marketing--Pain_R5662483,"Senior Director Marketing, Pain",Viatris,151000.0,314000.0,yes,Remote,United States,Senior Level,Full Time,workday
https://talentuch.breezy.hr/p/41264b20102b-b2b-saas-marketing-director,B2B SaaS Marketing Director,Talentuch,,,yes,Remote,United States,Senior Level,Full Time,breezy
https://yai.wd5.myworkdayjobs.com/careers/job/Manhattan/Marketing-Director_R022844,Marketing Director,Yai,105000.0,125000.0,no,Onsite,"New York City, New York, United States",Senior Level,Full Time,workday
https://travelzoo.bamboohr.com/careers/588,Marketing Director,Travelzoo,135000.0,175000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,bamboohr
https://jobs.lever.co/kasheesh/c4b2787b-ef23-48b7-94f4-c333a906678d/apply,Marketing Director,Kasheesh,145000.0,165000.0,no,Hybrid,"New York City, New York, United States",Senior Level,Full Time,lever
https://www.only.one/about/jobs?gh_jid=7086674003,Director of Marketing,Only One,,,yes,Remote,United States,Senior Level,Full Time,grnhse
https://myjobs.adp.com/archamenitiescareers/cx/job-details?reqId=5001149382306,Director of Marketing Enterprise,Arch Amenities Group,,,yes,Remote,North America,Senior Level,Full Time,adprecruiting
https://ats.rippling.com/fellers/jobs/228e4f24-c8e4-4491-b088-4efc983ccab9,Marketing Director,Fellers Careers Site,120000.0,160000.0,yes,Remote,United States,Senior Level,Full Time,rippling
https://localize.breezy.hr/p/1c4cf76970d1-marketing-director,Marketing Director,Localize,,,yes,Remote,United States,Senior Level,Full Time,breezy
https://spgi.wd5.myworkdayjobs.com/spgi_careers/job/New-York-NY/Associate-Marketing-Director_316639-1,Associate Marketing Director,S&P Global Market Intelligence,102387.0,149350.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,workday
https://spgi.wd5.myworkdayjobs.com/spgi_careers/job/New-York-NY/Associate-Director--Product-Marketing---Private-Markets_318405-1,"Associate Director, Product Marketing - Private Markets",Spgi,145000.0,165000.0,yes,Remote,New York or London,Senior Level,Full Time,workday
https://apply.workable.com/j/3596DC1271,"Marketing Director, US",Channel Factory,,,no,Onsite,"New York, New York, United States",Mid Level,Full Time,workable
https://lifesitenews.bamboohr.com/careers/95,Director of Marketing,LifeSiteNews,,,yes,Remote,United States,Senior Level,Full Time,bamboohr
https://hntb.wd5.myworkdayjobs.com/hntb_careers/job/New-York-NY/Division-Marketing-Director_R-27454,Division Marketing Director,Hntb,,,no,Onsite,New York or Boston,Senior Level,Full Time,workday
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=98059cc7-5a21-42f7-970b-cad6dcbfc7e0&jobId=555810,Senior Director HCP Marketing,Avadel Pharmaceuticals plc,,,yes,Remote,United States,Senior Level,Full Time,adp
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=31839bbe-05e1-4311-9683-1302247ca5d4&jobId=552978,Marketing Director- Outdoor Retailer,"Emerald Holding, Inc.",90000.0,100000.0,no,Hybrid,San Juan Capistrano or United States or New York or Alpharetta,Senior Level,Full Time,adp
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=33b4e892-5076-4888-83e0-cb344daf6d80&jobId=589467,"Director, Customer & Distributor Marketing - CONTRACT",Thorne,,,yes,Remote,United States,Senior Level,"Contract, Full Time",adp
https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/USA---Remote---Maryland/Product-Marketing-Director_R1103745-1,Product Marketing Director,Dentsuaegis,94000.0,152375.0,yes,Remote,United States or Maryland or New York City or Detroit or Chicago,Senior Level,Full Time,workday
https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/USA---Remote---New-York/Group-Director--Influencer---Marketing-Temporary-Worker_R1103748,"Group Director, Influencer & Marketing-Temporary Worker",Dentsuaegis,135990.4,219648.0,yes,Remote,"New York, New York, United States",Senior Level,"Part Time, Temporary, Contract",workday
https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/USA--Remote--Texas--Central-Time/Associate-Director--Digital-and-Programmatic_R1099123-1,"Associate Director, Digital and Programmatic",Dentsu,68000.0,110400.0,yes,Remote,United States,Mid Level,Full Time,workday
https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/New-York/Associate-Director--Integrated-Media-Planning_R1102097,"Associate Director, Integrated Media Planning",Carat,68000.0,110400.0,no,Hybrid,"New York, New York, United States",Senior Level,Full Time,workday
https://jobs-metagenics.icims.com/jobs/4073/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,"Director, Brand Marketing",Metagenics,180000.0,200000.0,yes,Remote,United States,Senior Level,Full Time,icims
https://job-boards.greenhouse.io/cultureamp/jobs/7217244,"Director, Marketing Operations",Culture Amp,181500.0,235000.0,no,Onsite,New York or Austin or Chicago or San Francisco,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/cultureamp/jobs/7217240,"Director, Marketing Operations",Culture Amp,181500.0,235000.0,no,Hybrid,Chicago or Austin or New York or San Francisco,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/cultureamp/jobs/7217239,"Director, Marketing Operations",Culture Amp,181500.0,235000.0,no,Hybrid,San Francisco or New York or Austin or Chicago,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/cultureamp/jobs/7217242,"Director, Marketing Operations",Culture Amp,181500.0,235000.0,no,Hybrid,Austin or Chicago or New York or San Francisco,Senior Level,Full Time,grnhse
https://www.wiz.io/careers/job/4598230006/:title?gh_jid=4598230006,"Director, Marketing Operations","Wiz, Inc.",183000.0,251500.0,yes,Remote,United States,Senior Level,Full Time,grnhse
